DATE,mac_dl_cqi,mac_dl_mcs,mac_dl_ok,mac_dl_nok,mac_dl_brate,ue_ident
2022-01-01 00:00:00.317,5,5,85,3,4914755,2105
2022-01-01 00:00:00.318,6,8,85,4,6677303,2105
2022-01-01 00:00:00.319,6,8,86,4,6805274,2105
2022-01-01 00:00:00.320,6,8,84,6,6650488,2105
2022-01-01 00:00:00.321,6,8,85,4,6730577,2105
2022-01-01 00:00:00.322,6,7,89,1,5981244,2105
2022-01-01 00:00:00.323,6,9,81,8,7249511,2105
2022-01-01 00:00:00.324,6,6,85,3,5084888,2105
2022-01-01 00:00:00.325,7,10,77,11,6664800,2105
2022-01-01 00:00:00.326,6,7,90,0,6334400,2105
2022-01-01 00:00:00.327,6,8,77,5,5023911,2105
2022-01-01 00:00:00.328,7,10,81,8,6858044,2105
2022-01-01 00:00:00.329,7,9,81,9,7267466,2105
2022-01-01 00:00:00.330,6,7,87,3,5735911,2105
2022-01-01 00:00:00.331,6,7,83,5,5813244,2105
2022-01-01 00:00:00.332,6,7,87,3,6068533,2105
2022-01-01 00:00:00.333,6,6,86,4,5780977,2105
2022-01-01 00:00:00.334,6,6,85,5,5732177,2105
2022-01-01 00:00:00.335,6,7,90,0,6239288,2105
2022-01-01 00:00:00.336,6,9,84,6,6902044,2105
2022-01-01 00:00:00.337,6,7,84,6,6215466,2105
2022-01-01 00:00:00.338,5,5,87,2,5092355,2105
2022-01-01 00:00:00.339,6,6,86,1,4934933,2105
2022-01-01 00:00:00.340,6,6,87,3,5855022,2105
2022-01-01 00:00:00.341,6,8,83,7,6566133,2105
2022-01-01 00:00:00.342,6,6,87,1,5062844,2105
2022-01-01 00:00:00.343,7,10,81,9,7605777,2105
2022-01-01 00:00:00.344,6,7,86,3,6549511,2105
2022-01-01 00:00:00.345,6,8,83,7,6597422,2105
2022-01-01 00:00:00.346,6,8,84,6,6667022,2105
2022-01-01 00:00:00.347,7,10,80,9,7488533,2105
2022-01-01 00:00:00.348,6,6,86,4,5645333,2105
2022-01-01 00:00:00.349,6,6,77,6,4135555,2105
2022-01-01 00:00:00.350,6,6,90,0,5539200,2105
2022-01-01 00:00:00.351,6,6,86,4,5812622,2105
2022-01-01 00:00:00.352,6,6,87,3,5849866,2105
2022-01-01 00:00:00.353,6,6,83,2,5534666,2105
2022-01-01 00:00:00.354,6,8,84,5,6663466,2105
2022-01-01 00:00:00.355,6,6,89,1,5988888,2105
2022-01-01 00:00:00.356,7,6,50,2,3346844,2105
2022-01-01 00:00:00.357,7,11,11,3,1020533,2105
2022-01-01 00:00:00.358,8,12,13,4,1287200,2105
2022-01-01 00:00:00.359,6,10,66,7,5866755,2105
2022-01-01 00:00:00.360,6,7,85,5,6123822,2105
2022-01-01 00:00:00.361,7,9,82,8,6973333,2105
2022-01-01 00:00:00.362,5,3,85,3,3423733,2105
2022-01-01 00:00:00.363,7,9,86,4,6656000,2105
2022-01-01 00:00:00.364,6,7,86,4,6340977,2105
2022-01-01 00:00:00.365,6,5,85,5,4925244,2105
2022-01-01 00:00:00.366,6,7,87,3,5765244,2105
2022-01-01 00:00:00.367,5,5,81,6,4710844,2105
2022-01-01 00:00:00.368,6,7,87,3,5987466,2105
2022-01-01 00:00:00.369,7,8,82,6,6538133,2105
2022-01-01 00:00:00.370,6,6,84,6,5235733,2105
2022-01-01 00:00:00.371,6,5,86,1,3830400,2105
2022-01-01 00:00:00.372,6,6,85,5,5429333,2105
2022-01-01 00:00:00.373,6,6,88,2,5894755,2105
2022-01-01 00:00:00.374,6,8,85,5,6675644,2105
2022-01-01 00:00:00.375,6,6,85,4,5789066,2105
2022-01-01 00:00:00.376,6,7,87,3,6330044,2105
2022-01-01 00:00:00.377,6,7,85,5,6268355,2105
2022-01-01 00:00:00.378,7,10,79,10,7056622,2105
2022-01-01 00:00:00.379,6,7,86,4,5921777,2105
2022-01-01 00:00:00.380,6,7,86,4,6227911,2105
2022-01-01 00:00:00.381,6,7,87,3,6368977,2105
2022-01-01 00:00:00.382,6,7,90,0,6051377,2105
2022-01-01 00:00:00.383,6,10,85,5,7802044,2105
2022-01-01 00:00:00.384,6,7,89,1,6426577,2105
2022-01-01 00:00:00.385,7,10,88,2,8371911,2105
2022-01-01 00:00:00.386,7,10,83,3,7591644,2105
2022-01-01 00:00:00.387,7,9,84,4,6873244,2105
2022-01-01 00:00:00.388,6,9,87,3,7636355,2105
2022-01-01 00:00:00.389,7,10,87,3,8243288,2105
2022-01-01 00:00:00.390,7,10,87,2,8024800,2105
2022-01-01 00:00:00.391,6,10,89,1,8289866,2105
2022-01-01 00:00:00.392,6,8,90,0,7174577,2105
2022-01-01 00:00:00.393,7,10,88,2,7629511,2105
2022-01-01 00:00:00.394,6,8,84,2,6748266,2105
2022-01-01 00:00:00.395,7,9,86,4,7048888,2105
2022-01-01 00:00:00.396,7,10,86,3,8123733,2105
2022-01-01 00:00:00.397,6,9,87,3,7527911,2105
2022-01-01 00:00:00.398,7,10,89,1,8119733,2105
2022-01-01 00:00:00.399,7,10,87,2,8294488,2105
2022-01-01 00:00:00.400,6,9,87,3,7833333,2105
2022-01-01 00:00:00.401,7,10,89,1,7835644,2105
2022-01-01 00:00:00.402,6,9,87,3,7205422,2105
2022-01-01 00:00:00.403,7,10,85,5,8088444,2105
2022-01-01 00:00:00.404,7,10,84,6,7999644,2105
2022-01-01 00:00:00.405,7,10,81,7,7719022,2105
2022-01-01 00:00:00.406,7,10,85,5,8105511,2105
2022-01-01 00:00:00.407,7,10,86,4,8177244,2105
2022-01-01 00:00:00.408,6,9,87,3,7808800,2105
2022-01-01 00:00:00.409,7,10,86,4,7555022,2105
2022-01-01 00:00:00.410,6,10,85,5,8111200,2105
2022-01-01 00:00:00.411,7,9,88,2,7305600,2105
2022-01-01 00:00:00.412,7,10,88,2,8501333,2105
2022-01-01 00:00:00.413,7,11,85,3,7864088,2105
2022-01-01 00:00:00.414,7,10,59,4,5174666,2105
2022-01-01 00:00:00.415,7,11,60,6,5538933,2105
2022-01-01 00:00:00.416,8,10,50,3,4142222,2105
2022-01-01 00:00:00.417,6,9,67,3,5691377,2105
2022-01-01 00:00:00.418,7,10,65,6,5487022,2105
2022-01-01 00:00:00.419,7,10,57,3,4714933,2105
2022-01-01 00:00:00.420,7,10,64,1,5033155,2105
2022-01-01 00:00:00.421,7,10,69,2,5948000,2105
2022-01-01 00:00:00.422,7,12,55,0,5285955,2105
2022-01-01 00:00:00.423,7,11,55,5,5823820,2105
2022-01-01 00:00:00.424,7,11,63,5,5934488,2105
2022-01-01 00:00:00.425,8,11,56,3,5299164,2105
2022-01-01 00:00:00.426,8,11,48,0,4837511,2105
2022-01-01 00:00:00.427,8,13,58,3,5877511,2105
2022-01-01 00:00:00.428,7,11,61,4,6094222,2105
2022-01-01 00:00:00.429,8,13,60,5,6972888,2105
2022-01-01 00:00:00.430,7,11,67,1,6047111,2105
2022-01-01 00:00:00.431,7,11,70,4,6485866,2105
2022-01-01 00:00:00.432,7,11,64,2,6165777,2105
2022-01-01 00:00:00.433,7,11,68,2,6737777,2105
2022-01-01 00:00:00.434,7,13,77,4,8570755,2105
2022-01-01 00:00:00.435,7,11,66,0,6420977,2105
2022-01-01 00:00:00.436,8,13,67,8,7810044,2105
2022-01-01 00:00:00.437,7,11,62,5,5792711,2105
2022-01-01 00:00:00.438,7,12,53,2,5537258,2105
2022-01-01 00:00:00.439,6,12,64,3,6250285,2105
2022-01-01 00:00:00.440,7,11,72,4,7411146,2105
2022-01-01 00:00:00.441,7,12,69,5,7800967,2105
2022-01-01 00:00:00.442,7,11,52,4,4731911,2105
2022-01-01 00:00:00.443,8,10,28,0,2512711,2105
2022-01-01 00:00:00.444,8,12,19,1,1662488,2105
2022-01-01 00:00:00.445,9,13,37,4,4313066,2105
2022-01-01 00:00:00.446,7,9,71,1,5635644,2105
2022-01-01 00:00:00.447,7,12,77,3,7503644,2105
2022-01-01 00:00:00.448,7,11,69,3,7057511,2105
2022-01-01 00:00:00.449,8,13,73,6,7751733,2105
2022-01-01 00:00:00.450,7,12,71,4,7136888,2105
2022-01-01 00:00:00.451,7,12,72,4,7701155,2105
2022-01-01 00:00:00.452,7,11,68,2,6284800,2105
2022-01-01 00:00:00.453,7,12,81,3,9401866,2105
2022-01-01 00:00:00.454,7,13,71,6,7955644,2105
2022-01-01 00:00:00.455,7,11,76,4,7461866,2105
2022-01-01 00:00:00.456,8,13,65,5,7496533,2105
2022-01-01 00:00:00.457,7,11,67,2,6245066,2105
2022-01-01 00:00:00.458,7,12,79,4,7852266,2105
